key,중위건축,n,노후91,노후25,반지하%,온열률10만
대구광역시 달성군,2002.5,72,18.055555555555554,45.83333333333333,0.01697680779424109,
대구광역시 동구,1995.0,399,24.06015037593985,59.899749373433586,0.0948840594780077,
대구광역시 북구,1996.0,181,7.18232044198895,62.430939226519335,0.043176960773731135,
대구광역시 서구,2003.0,137,10.218978102189782,32.846715328467155,0.14561907609896896,
대구광역시 수성구,2001.0,338,10.059171597633137,49.40828402366864,0.07698599817158254,
대구광역시 중구,2001.0,57,15.789473684210526,40.35087719298245,0.026775553919271704,
대전광역시 대덕구,1993.0,294,27.2108843537415,80.27210884353741,0.36849438143725827,
대전광역시 동구,1995.0,291,20.274914089347078,60.13745704467354,0.4954900105841912,
대전광역시 서구,1997.0,474,24.894514767932492,55.27426160337553,0.9276252127198105,
대전광역시 유성구,1998.0,210,24.285714285714285,52.38095238095239,0.3107932772094988,
대전광역시 중구,2007.0,362,11.602209944751381,37.569060773480665,0.17037311712650705,
부산광역시 금정구,2013.0,1797,6.900389538119088,14.41291040623261,0.11033873993158998,
부산광역시 남구,2012.0,2750,6.545454545454546,12.327272727272726,0.10037268815514999,
부산광역시 동구,2013.0,262,7.633587786259542,14.122137404580155,0.29928125368210207,
부산광역시 동래구,2013.0,1389,8.783297336213103,16.12670986321094,0.046523059637295694,8.1
부산광역시 부산진구,2013.0,2525,2.01980198019802,4.871287128712871,0.057907903270638376,
부산광역시 북구,2012.0,542,10.14760147601476,27.67527675276753,0.37153031018061694,
부산광역시 사상구,2014.0,828,1.570048309178744,5.676328502415459,0.06518626172818397,
부산광역시 사하구,2012.0,1118,12.522361359570661,22.093023255813954,0.1034574569244228,
부산광역시 서구,2014.0,893,2.2396416573348263,5.487122060470324,0.0912316269640142,
부산광역시 수영구,2016.0,3293,4.190707561494078,9.505010628606133,0.04658118610409669,
부산광역시 연제구,2013.0,1245,4.819277108433735,9.397590361445783,0.045935754040743945,
부산광역시 영도구,2012.0,225,7.555555555555555,18.22222222222222,0.10031297648663831,35.4
부산광역시 중구,2013.0,510,1.9607843137254901,12.352941176470589,0.4633096218644703,
부산광역시 해운대구,2003.0,900,9.666666666666666,38.22222222222222,0.07242576359231788,
서울특별시 강남구,2005.0,7853,4.826181077295301,18.06952756908188,3.326514472038987,6.3
서울특별시 강동구,2016.0,8157,4.303052592865024,7.882800049037636,5.800822147564684,
서울특별시 강북구,2003.0,3561,15.641673687166527,39.736029205279415,11.295434930382116,
서울특별시 강서구,2012.0,10451,4.621567314132618,16.132427518897714,3.8385227077442234,
서울특별시 관악구,2013.0,6558,6.419640134187252,25.236352546508083,11.1607886487878,
서울특별시 광진구,2015.0,8202,3.4259936600829066,8.961228968544258,10.940741067656942,
서울특별시 구로구,2012.0,3956,15.824064711830133,32.78564206268958,3.1950895045160688,
서울특별시 금천구,2017.0,3116,7.605905006418485,13.414634146341465,5.4883027441513725,
서울특별시 노원구,2011.0,2093,8.170090778786431,29.335881509794554,2.5944978751957057,
서울특별시 도봉구,2008.0,2530,8.26086956521739,36.83794466403162,6.271516701196078,
서울특별시 동대문구,2015.0,3260,6.196319018404909,12.607361963190183,6.082715980269582,
서울특별시 동작구,2013.0,5900,6.016949152542373,17.593220338983052,7.619157330875788,
서울특별시 마포구,2011.0,8352,9.506704980842912,22.042624521072796,4.5485125054326145,
서울특별시 서대문구,2006.0,4075,10.45398773006135,27.901840490797547,5.245725798853449,
서울특별시 서초구,2012.0,7461,4.704463208685163,19.03230130009382,3.7150217193655926,7.3
서울특별시 성동구,2012.0,2382,9.026028547439127,24.853064651553318,5.6145946913600335,
서울특별시 성북구,2013.0,4968,4.891304347826087,20.30998389694042,5.841131641227175,
서울특별시 송파구,2009.0,18332,3.032947850752782,9.426140082915122,4.08898613605559,
서울특별시 양천구,2011.0,6034,13.47364932051707,26.35067948293006,5.473131255767729,
서울특별시 영등포구,2017.0,4235,2.408500590318772,7.626918536009446,4.638506798348689,
서울특별시 용산구,2013.0,5084,7.494099134539732,20.672698662470495,5.207987934667508,
서울특별시 은평구,2011.0,8228,8.155080213903744,26.920272241127858,6.548492831144805,
서울특별시 종로구,2001.0,2279,9.784993418165861,49.80254497586661,4.246399455470817,
서울특별시 중구,2012.0,1774,5.0732807215332585,26.155580608793688,3.0025564336914567,
서울특별시 중랑구,2017.0,5381,4.385801895558447,9.459208325590039,10.119081961159896,
울산광역시 남구,2001.0,573,17.975567190226876,39.79057591623037,0.021677866897897247,
울산광역시 동구,1996.5,136,16.911764705882355,61.029411764705884,0.031386826948729615,
울산광역시 북구,2012.0,76,3.9473684210526314,35.526315789473685,0.0071147369918892,
울산광역시 울주군,2010.0,158,0.6329113924050633,29.11392405063291,0.013066486639517412,
울산광역시 중구,1997.0,308,25.97402597402597,54.54545454545454,0.09134582854049665,
인천광역시 강화군,2010.0,201,10.44776119402985,33.83084577114428,0.3896671033625584,79.2
인천광역시 계양구,2001.0,2398,12.55212677231026,47.539616346955796,2.5583794112176395,
인천광역시 남동구,1995.0,2830,24.840989399293285,65.05300353356891,3.099367992624192,
인천광역시 미추홀구,2002.0,2839,12.152166255723847,38.992603029235646,2.6409070000270587,
인천광역시 부평구,2001.0,3296,14.381067961165048,43.234223300970875,2.780076278521224,
인천광역시 연수구,1996.0,494,9.109311740890687,60.72874493927125,2.2409438850423196,
인천광역시 옹진군,2023.0,49,0.0,0.0,0.06071031063442275,
전북특별자치도 군산시,2012.0,135,30.37037037037037,34.074074074074076,0.016177096636866752,
전북특별자치도 익산시,2014.5,180,10.555555555555555,21.11111111111111,0.03858753212206797,
전북특별자치도 전주시,2004.0,474,14.767932489451477,22.78481012658228,0.038407870442148585,
제주특별자치도 서귀포시,2017.0,2210,1.4479638009049773,10.588235294117647,0.03413014085246591,79.9
제주특별자치도 제주시,2015.0,3101,4.288939051918736,18.219929055143503,0.10566252862717344,
충청남도 공주시,2006.0,83,12.048192771084338,32.53012048192771,0.03548838277352149,40.1
충청남도 금산군,2004.5,34,32.35294117647059,38.23529411764706,0.2694509936005389,33.9
충청남도 논산시,2016.0,86,19.767441860465116,29.069767441860467,0.21299042538368138,42.1
충청남도 당진시,2015.0,281,2.8469750889679712,22.77580071174377,0.028319495398081998,85.0
