연도,key,산업용,산업용여름,주택용,주택용여름,일반용,일반용여름,제조업,제조업여름,인구,온열,여름온열,여름온열률10만
2023,경상남도 거제시,1108.4,314.4,387.2,105.2,487.3,130.6,1030.0,294.1,234038.0,42,36,15.382117433920987
2023,경상남도 거창군,119.5,30.3,85.8,21.9,127.9,31.2,102.4,25.9,60047.0,2,2,3.33072426599164
2023,경상남도 고성군,391.6,97.4,71.9,18.5,111.6,27.5,203.5,56.2,49468.0,7,7,14.150561979461468
2023,경상남도 김해시,3263.0,796.6,838.5,236.4,1088.9,296.1,3007.5,729.9,533659.0,39,38,7.12065195190187
2023,경상남도 남해군,19.6,4.8,54.2,13.9,115.6,29.1,6.1,1.4,40780.0,8,8,19.617459538989703
2023,경상남도 밀양시,613.5,154.0,156.1,41.5,235.3,60.5,549.2,138.2,102084.0,7,6,5.877512636652169
2023,경상남도 사천시,898.5,230.8,166.1,44.6,270.7,69.6,833.8,213.8,109030.0,7,7,6.420251306979731
2023,경상남도 산청군,93.8,25.4,43.8,11.0,76.9,18.6,78.8,21.5,33752.0,9,9,26.665086513391802
2023,경상남도 양산시,2398.5,608.7,577.5,159.7,737.9,198.5,2059.2,525.5,355122.0,5,5,1.4079668395649947
2023,경상남도 의령군,191.4,48.6,35.5,8.9,56.4,13.1,179.1,45.6,25475.0,4,3,11.776251226692835
2023,경상남도 진주시,876.3,215.7,557.6,151.9,769.6,204.3,769.6,187.7,341074.0,11,10,2.931915068284302
2023,경상남도 창녕군,552.9,140.4,83.7,21.5,145.3,36.3,531.6,135.0,57083.0,3,2,3.5036700944239088
2023,경상남도 창원시,6276.6,1584.5,1602.0,450.4,2226.5,606.2,6003.8,1512.9,1009038.0,46,44,4.360588996648293
2023,경상남도 통영시,360.7,88.1,192.6,51.6,336.9,86.2,150.4,39.1,120551.0,5,5,4.147622168210964
2023,경상남도 하동군,194.4,49.9,55.0,13.8,89.7,22.1,36.3,9.2,41606.0,9,9,21.631495457385956
2023,경상남도 함안군,2558.0,622.9,88.8,23.3,143.1,37.1,2455.2,597.0,60203.0,1,1,1.6610467916881217
2023,경상남도 함양군,78.7,13.5,52.4,13.1,79.4,19.4,62.6,9.3,36945.0,8,6,16.24035728786033
2023,경상남도 합천군,72.3,17.7,56.5,14.1,103.8,23.9,51.9,12.6,41203.0,13,13,31.551100648011065
2023,경상북도 경산시,1582.2,397.1,438.7,119.3,521.1,138.6,1507.2,377.1,266205.0,3,3,1.1269510339775737
2023,경상북도 경주시,2738.7,664.0,410.0,111.4,758.8,202.3,1969.6,479.8,247489.0,23,23,9.293342330366198
2023,경상북도 고령군,1019.7,241.2,39.8,10.3,74.6,18.7,991.1,234.0,30139.0,1,1,3.3179601181193803
2023,경상북도 구미시,7495.1,1964.8,629.9,174.6,775.3,204.5,7121.0,1861.7,405506.0,53,51,12.576879257027024
2023,경상북도 김천시,1606.7,391.6,205.1,53.8,319.2,83.9,1433.1,349.7,137515.0,7,6,4.363160382503727
2023,경상북도 문경시,206.8,49.9,97.0,24.6,168.8,40.7,176.8,42.4,68755.0,16,15,21.816595156715877
2023,경상북도 봉화군,1824.7,375.4,39.0,9.5,57.6,12.9,1808.5,371.6,29603.0,4,4,13.51214403945546
2023,경상북도 상주시,160.8,42.2,136.0,34.8,188.3,46.4,126.5,33.3,93858.0,8,8,8.523514244923183
