도엽,zip,w,s,e,n
34703097,토지피복지도/SG05_34703097_20251113.zip,127.65000001142192,34.749999926156285,127.67500004851203,34.77500056550708
34703098,토지피복지도/SG05_34703098_20251113.zip,127.67499994860098,34.749999875152966,127.70000003788633,34.775000537661704
34703099,토지피복지도/SG05_34703099_20251113.zip,127.70000001360359,34.749999875152966,127.72499997219306,34.77500051676845
34703100,토지피복지도/SG05_34703100_20251113.zip,127.72499994510802,34.74999990255394,127.74999996551253,34.775000543917365
34704001,토지피복지도/SG05_34704001_20251113.zip,127.7499999648492,34.974999956411736,127.77500004558948,35.00000064425035
34704002,토지피복지도/SG05_34704002_20251113.zip,127.7750000044321,34.974999956411736,127.79999998023426,35.00000061824831
34704011,토지피복지도/SG05_34704011_20251113.zip,127.74999998520873,34.949999911813194,127.77500001396211,34.97500062084684
34704021,토지피복지도/SG05_34704021_20251113.zip,127.74999999383725,34.92499990528097,127.77500001396211,34.95000055869229
34704022,토지피복지도/SG05_34704022_20251113.zip,127.77499994503377,34.92499989068642,127.8000000528628,34.95000063595266
34704031,토지피복지도/SG05_34704031_20251113.zip,127.7499999826868,34.89999987822509,127.77500002484918,34.92500056906045
34704032,토지피복지도/SG05_34704032_20251113.zip,127.77499994541822,34.89999987583263,127.7999999990715,34.925000551132484
34704041,토지피복지도/SG05_34704041_20251113.zip,127.7499999962493,34.87499989193463,127.77500003402982,34.90000052064599
34704042,토지피복지도/SG05_34704042_20251113.zip,127.77500001099872,34.87499989193463,127.7999999990715,34.90000051811607
34704051,토지피복지도/SG05_34704051_20251113.zip,127.74999998849893,34.84999988095488,127.77500003402982,34.875000540399775
34704052,토지피복지도/SG05_34704052_20251113.zip,127.7749999713264,34.849999893799904,127.8000000089458,34.875000001378964
34704061,토지피복지도/SG05_34704061_20251113.zip,127.7499999723252,34.824999884480135,127.7749999722209,34.85000052272768
34704062,토지피복지도/SG05_34704062_20251113.zip,127.77499994210378,34.824999884480135,127.8000000089458,34.85000001937544
34704071,토지피복지도/SG05_34704071_20251113.zip,127.74999998020886,34.79999992942601,127.77499996471357,34.82500053974756
34704072,토지피복지도/SG05_34704072_20251113.zip,127.77499994883138,34.799999889667426,127.79999997259449,34.82499994795648
34704081,토지피복지도/SG05_34704081_20251113.zip,127.74999996355771,34.77499992255255,127.77500001818834,34.80000058123467
34704091,토지피복지도/SG05_34704091_20251113.zip,127.74999993932997,34.74999988057376,127.77500001818834,34.77500056985315
34706009,토지피복지도/SG05_34706009_20251113.zip,127.45000001147464,34.724999930457,127.4750000355023,34.74999995297268
34707001,토지피복지도/SG05_34707001_20251113.zip,127.49999998598943,34.724999878631216,127.52500004530573,34.750000564904646
34707003,토지피복지도/SG05_34707003_20251113.zip,127.55000004413728,34.72499990569533,127.5750000231961,34.74999990930056
34707004,토지피복지도/SG05_34707004_20251113.zip,127.57500000782079,34.72499989132062,127.59999995503034,34.750000548382225
34707005,토지피복지도/SG05_34707005_20251113.zip,127.59999993944508,34.72499989132062,127.62499995928091,34.750000550808664
34707006,토지피복지도/SG05_34707006_20251113.zip,127.62499994204958,34.72499990379338,127.65000003030532,34.75000056162491
34707007,토지피복지도/SG05_34707007_20251113.zip,127.65000001115231,34.72499987578561,127.6750000479978,34.750000575029716
34707008,토지피복지도/SG05_34707008_20251113.zip,127.6749999477101,34.72499987578561,127.7000000397063,34.75000055104394
34707009,토지피복지도/SG05_34707009_20251113.zip,127.70000001542343,34.72499992885162,127.72499997417835,34.7500005276576
34707010,토지피복지도/SG05_34707010_20251113.zip,127.72499994665338,34.724999920236144,127.74999996924574,34.75000055993087
34707012,토지피복지도/SG05_34707012_20251113.zip,127.52500000893212,34.69999989040642,127.55000004413728,34.724999910967256
34707013,토지피복지도/SG05_34707013_20251113.zip,127.55000002453994,34.69999987247898,127.5750000186866,34.72500055849021
34707014,토지피복지도/SG05_34707014_20251113.zip,127.57500000244545,34.69999987247898,127.59999995860562,34.72500055721911
34707015,토지피복지도/SG05_34707015_20251113.zip,127.59999994204964,34.699999952777375,127.62499997174416,34.72500055093659
34707016,토지피복지도/SG05_34707016_20251113.zip,127.6249999498212,34.699999870023206,127.65000005020404,34.72500056301537
34707018,토지피복지도/SG05_34707018_20251113.zip,127.6749999477101,34.69999988667293,127.70000004055916,34.72500015086886
34707019,토지피복지도/SG05_34707019_20251113.zip,127.69999996708754,34.69999991135929,127.72500001927098,34.72500057748599
34707020,토지피복지도/SG05_34707020_20251113.zip,127.72499997137763,34.69999989492885,127.75000002175476,34.725000558322016
34707023,토지피복지도/SG05_34707023_20251113.zip,127.55000000916107,34.67499988352927,127.57500001398218,34.70000051079122
34707024,토지피복지도/SG05_34707024_20251113.zip,127.57499999783224,34.67499988352927,127.59999996788316,34.70000055253853
34707025,토지피복지도/SG05_34707025_20251113.zip,127.59999994789366,34.67499991414765,127.62499999397593,34.70000059422433
34707026,토지피복지도/SG05_34707026_20251113.zip,127.62499996576199,34.6749999155986,127.65000005020404,34.70000041339956
34707028,토지피복지도/SG05_34707028_20251113.zip,127.67499991755277,34.674999867228664,127.70000002889735,34.69999991135929
34707029,토지피복지도/SG05_34707029_20251113.zip,127.69999996708754,34.674999867228664,127.72500001927098,34.69999994397024
34707030,토지피복지도/SG05_34707030_20251113.zip,127.72499998427546,34.67499994859251,127.75000002175476,34.700000560381305
34707031,토지피복지도/SG05_34707031_20251113.zip,127.4999999632223,34.64999986874618,127.52500005019526,34.675002512555295
34707032,토지피복지도/SG05_34707032_20251113.zip,127.52499998085612,34.64999986874618,127.55000001458549,34.67500251227993
34707033,토지피복지도/SG05_34707033_20251113.zip,127.54999998888377,34.649999883029956,127.57500001036227,34.67500055557507
34707034,토지피복지도/SG05_34707034_20251113.zip,127.57499999503032,34.649999883029956,127.59999998325026,34.675000536526106
34707035,토지피복지도/SG05_34707035_20251113.zip,127.5999999596297,34.649999945261136,127.62500002668915,34.67500057514503
34707036,토지피복지도/SG05_34707036_20251113.zip,127.62499999134232,34.649999945261136,127.65000002798575,34.67500041611245
34707039,토지피복지도/SG05_34707039_20251113.zip,127.70000000515051,34.64999990267126,127.72499998427546,34.67499994859251
34707040,토지피복지도/SG05_34707040_20251113.zip,127.72499996661234,34.64999990262833,127.75000001078436,34.67500022828169
34707041,토지피복지도/SG05_34707041_20251113.zip,127.4999999632223,34.62499987231699,127.52500005019526,34.650000448093984
34707042,토지피복지도/SG05_34707042_20251113.zip,127.52500000182414,34.62499987231699,127.54999999309851,34.64999991505204
34707043,토지피복지도/SG05_34707043_20251113.zip,127.54999996463219,34.624999871014964,127.57500000796374,34.650000420552
34707044,토지피복지도/SG05_34707044_20251113.zip,127.57499999228719,34.624999871014964,127.60000000286306,34.65000055645341
34707045,토지피복지도/SG05_34707045_20251113.zip,127.59999997900205,34.624999891048816,127.62500002668915,34.65000059020047
