net,scene,date,지점,LST_30m,LST_100m,LST_500m,LST_1000m,NDVI_30m,NDVI_100m,NDVI_500m,NDVI_1000m
ASOS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,253,36.473013860000016,37.45906380114288,41.9496842059794,41.34155426274837,0.7463793017118846,0.7014165899985652,0.3503099547195017,0.3579238657057358
ASOS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,257,39.41478974,39.10664709885715,41.02092134572866,41.28273494104194,0.6123522823016967,0.5422317174118254,0.3888604666104352,0.37664496242738155
ASOS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,263,,,,34.96753228412315,,,,0.5748534593951724
ASOS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,152,37.97808200000001,37.90379703200002,36.15939780041239,35.78074453418428,0.4259222028551804,0.5425625326599074,0.6577717611615266,0.6607798255797104
ASOS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,143,38.922594860000004,38.623827359428596,39.405962375663734,40.035650054423634,0.4520299736282092,0.42429720093912165,0.42176470088350165,0.3851867222181328
ASOS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,283,40.01522192000002,39.435265307428594,35.7222378181163,35.3920345965074,0.5455104315667937,0.45449589089866604,0.5718282932778177,0.5918480312747544
ASOS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,271,36.68379176,36.475791001250016,36.61738089733335,34.31763941768101,0.5722699823072553,0.5034729678234484,0.5805475516160735,0.6833075621052395
ASOS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,276,36.38756336000002,35.76851110914288,34.47615311881519,33.13213094970645,0.46391327874548066,0.6296010835324953,0.6135281034767902,0.622466163835176
ASOS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,296,41.94982124000003,41.79760541600002,41.811406826486504,40.6485641246461,0.18272941686971436,0.22659261805808445,0.3418846989520251,0.3933298979687743
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,919,37.16231456000003,37.572932696000024,35.98354154159539,35.7066202236709,0.36552758402087066,0.2905025847233335,0.3028797483248806,0.3978717492239147
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,928,41.73448598000001,41.69457652742859,39.26050509381446,37.10717326842983,0.18166616708139005,0.25896993862112866,0.36566165217294766,0.48915923467471006
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,820,34.693364780000024,33.8063368018182,31.846373751807246,32.56848209846359,0.5034940498188325,0.6101277579965795,0.6708127709586725,0.667640342346912
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,827,43.27373432000002,42.57656181636366,40.210591602857164,41.63019024019374,0.4215255454321767,0.3835243595028078,0.4730742353356987,0.36232035062042933
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,949,40.13940998000002,39.18246795636366,37.298820151333345,35.679234976724835,0.35573524032127307,0.2904046653738968,0.41282075236483046,0.541603303456664
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,812,37.908582260000024,37.23347448114287,32.434382441649504,30.91037467783569,0.3716778928478904,0.3162542340828924,0.6126238060071761,0.7140407651258202
AWS,LC09_L2SP_114035_20250623_20250624_02_T1,2025-06-23,850,,,,31.987531483746718,,,,0.7201369297868683
