연도,key,산업용,산업용여름,주택용,주택용여름,일반용,일반용여름,제조업,제조업여름,인구,온열,여름온열,여름온열률10만,가구수,다자녀,소년소녀가정,한부모가정,질환자,임산부,영유아,장애인,노인,발급률_인구천명,노인비중
2020,경상남도 하동군,143.8,41.6,55.0,13.3,81.5,19.4,39.7,10.2,44785.0,2,2,4.465780953444234,1030.0,0.0,12.0,36.0,118.0,0.0,7.0,503.0,354.0,22.998771910237803,34.368932038834956
2020,경상남도 함안군,2243.5,510.7,90.3,22.6,128.5,32.8,2147.4,486.6,64182.0,1,1,1.5580692405970522,1148.0,0.0,13.0,40.0,140.0,1.0,15.0,563.0,376.0,17.886634882054157,32.752613240418114
2020,경상남도 함양군,54.9,13.4,52.2,12.6,66.1,16.0,41.9,10.2,39080.0,4,4,10.23541453428864,832.0,0.0,9.0,21.0,72.0,0.0,10.0,398.0,322.0,21.28966223132037,38.70192307692308
2020,경상남도 합천군,72.1,17.4,56.1,13.3,92.4,21.8,52.7,12.4,44006.0,3,2,4.544834795255192,1044.0,0.0,4.0,28.0,99.0,0.0,12.0,535.0,366.0,23.724037631232104,35.05747126436782
2020,경상북도 경산시,1507.2,354.0,401.0,100.7,463.2,119.0,1429.7,333.8,263728.0,3,3,1.1375356427834735,3393.0,0.0,39.0,323.0,484.0,3.0,54.0,1316.0,1174.0,12.86552811988109,34.60064839375184
2020,경상북도 경주시,2442.0,573.9,389.6,97.6,643.5,167.5,1719.0,388.0,253502.0,7,6,2.36684523199028,3951.0,0.0,45.0,264.0,512.0,3.0,50.0,1587.0,1490.0,15.585675852655994,37.71197165274614
2020,경상북도 고령군,976.7,214.7,40.1,9.8,66.7,16.6,948.5,207.5,31361.0,3,3,9.566021491661616,623.0,0.0,5.0,25.0,74.0,0.0,7.0,260.0,252.0,19.865437964350626,40.44943820224719
2020,경상북도 구미시,7762.3,1993.8,604.0,154.5,699.3,180.6,7512.1,1928.0,416328.0,13,13,3.122537998885494,3198.0,0.0,37.0,391.0,471.0,4.0,67.0,1349.0,879.0,7.681443477258316,27.485928705440898
2020,경상북도 군위군,143.3,32.6,28.1,6.7,54.0,13.0,133.6,30.2,23256.0,1,1,4.299965600275198,505.0,0.0,7.0,13.0,50.0,0.0,2.0,233.0,200.0,21.714826281389747,39.603960396039604
2020,경상북도 김천시,1510.8,370.3,197.5,48.7,282.0,72.7,1344.0,328.9,140548.0,5,5,3.5575034863534167,2302.0,0.0,19.0,128.0,294.0,1.0,22.0,1045.0,793.0,16.37874605117113,34.448305821025194
2020,경상북도 문경시,187.2,44.3,96.6,23.2,151.2,35.8,155.9,36.4,71406.0,8,7,9.803097778898133,1199.0,0.0,17.0,29.0,147.0,0.0,11.0,554.0,441.0,16.791306052712656,36.78065054211843
2020,경상북도 봉화군,1674.3,387.6,41.2,9.9,51.2,11.6,1652.4,382.3,31494.0,2,2,6.350415952244872,418.0,0.0,2.0,4.0,40.0,0.0,5.0,212.0,155.0,13.272369340191782,37.08133971291866
2020,경상북도 상주시,153.0,39.1,131.1,31.7,165.3,40.2,125.2,31.9,97228.0,3,3,3.085530917019789,1573.0,0.0,23.0,59.0,181.0,1.0,14.0,753.0,542.0,16.178467108240426,34.45645263827082
2020,경상북도 성주군,724.4,157.5,50.4,12.3,90.1,21.6,709.3,153.8,43414.0,1,1,2.3034044317501268,738.0,0.0,5.0,27.0,85.0,0.0,6.0,335.0,280.0,16.999124706315932,37.94037940379404
2020,경상북도 안동시,271.7,69.1,233.2,57.1,361.0,87.9,173.7,43.7,158907.0,13,13,8.180885675269183,3299.0,0.0,23.0,291.0,414.0,3.0,52.0,1457.0,1059.0,20.760570648240794,32.10063655653228
2020,경상북도 영덕군,49.8,12.4,48.7,11.8,120.6,30.0,33.2,8.3,36313.0,1,1,2.753834714840415,1083.0,0.0,16.0,16.0,111.0,0.0,5.0,479.0,456.0,29.824029961721696,42.10526315789473
2020,경상북도 영양군,11.7,2.9,23.1,5.5,28.8,6.4,3.4,0.7,16692.0,0,0,0.0,430.0,0.0,4.0,8.0,48.0,0.0,6.0,199.0,165.0,25.760843517852862,38.372093023255815
2020,경상북도 영주시,1029.2,247.0,145.9,35.8,200.1,47.9,1005.4,241.3,103119.0,6,6,5.818520350274925,1851.0,0.0,10.0,164.0,211.0,0.0,27.0,802.0,637.0,17.950135280598143,34.413830361966504
2020,경상북도 영천시,911.0,205.4,135.1,33.1,191.9,46.9,878.9,197.2,102015.0,2,2,1.9604960054893887,2225.0,0.0,15.0,115.0,280.0,0.0,26.0,914.0,875.0,21.81051806106945,39.325842696629216
2020,경상북도 예천군,48.8,12.1,86.9,22.1,96.1,23.3,33.8,8.4,55613.0,11,11,19.779547947422365,786.0,0.0,2.0,27.0,59.0,0.0,11.0,411.0,276.0,14.133386078794526,35.11450381679389
2020,경상북도 울릉군,6.8,1.7,9.6,2.4,36.1,9.1,1.8,0.4,9077.0,0,0,0.0,109.0,0.0,3.0,1.0,15.0,0.0,0.0,40.0,50.0,12.008372810399912,45.87155963302752
2020,경상북도 울진군,371.8,104.8,79.1,18.9,144.6,34.8,21.3,4.9,48716.0,4,4,8.210854749979474,1176.0,0.0,11.0,12.0,150.0,0.0,7.0,510.0,486.0,24.139912964939647,41.3265306122449
2020,경상북도 의성군,77.0,17.3,67.3,16.0,82.0,19.0,61.8,13.5,51724.0,6,6,11.600030933415823,1071.0,0.0,8.0,22.0,110.0,0.0,7.0,547.0,377.0,20.706055216147245,35.20074696545285
2020,경상북도 청도군,87.7,20.0,54.7,13.1,87.7,20.9,74.8,16.8,42263.0,1,1,2.366135863521284,846.0,0.0,8.0,25.0,92.0,0.0,4.0,425.0,292.0,20.017509405390058,34.515366430260045
2020,경상북도 청송군,19.0,4.5,33.7,8.0,59.5,13.6,8.2,1.8,25044.0,8,8,31.943778949049676,510.0,0.0,7.0,9.0,52.0,0.0,4.0,261.0,177.0,20.364159080019164,34.705882352941174
2020,경상북도 칠곡군,1264.0,278.4,161.2,40.9,294.5,75.6,1167.7,254.5,114758.0,2,2,1.74279788772896,1334.0,0.0,14.0,91.0,206.0,2.0,20.0,598.0,403.0,11.624461911152164,30.20989505247376
2020,경상북도 포항시,6466.9,1470.2,752.8,194.1,998.0,260.5,6320.8,1433.9,502916.0,19,19,3.777966897056368,8117.0,0.0,77.0,645.0,1242.0,4.0,82.0,3121.0,2946.0,16.139872264950807,36.29419736355797
2020,광주광역시 광산구,1865.3,473.3,612.6,155.1,747.4,196.8,1766.9,448.3,405579.0,12,12,2.9587330704992123,4970.0,0.0,62.0,773.0,675.0,5.0,176.0,2002.0,1277.0,12.254086133650903,25.694164989939637
2020,광주광역시 남구,34.2,8.5,326.3,83.4,298.5,79.3,12.0,2.7,214579.0,9,8,3.728230628346669,3162.0,0.0,36.0,448.0,439.0,2.0,67.0,1211.0,959.0,14.735831558540212,30.328905755850727
2020,광주광역시 동구,30.6,7.7,163.0,42.6,354.7,94.1,8.0,1.9,102897.0,1,1,0.9718456320398068,1606.0,0.0,28.0,129.0,220.0,1.0,41.0,582.0,605.0,15.607840850559297,37.67123287671233
2020,광주광역시 북구,722.1,196.1,643.6,167.9,711.3,187.1,663.0,180.3,430431.0,9,9,2.090927465726214,8031.0,0.0,57.0,722.0,1202.0,8.0,186.0,3236.0,2620.0,18.658042752496915,32.6235836134977
2020,광주광역시 서구,296.5,78.2,462.1,116.2,758.6,199.1,184.1,49.7,296576.0,8,7,2.360271903323263,4788.0,0.0,58.0,520.0,702.0,6.0,105.0,1947.0,1450.0,16.14425981873112,30.28404344193818
2020,대구광역시 남구,10.8,2.7,218.1,55.8,303.0,80.9,6.0,1.5,146632.0,3,3,2.0459381308309235,4252.0,0.0,15.0,454.0,658.0,1.0,51.0,1375.0,1698.0,28.997763107643625,39.934148635936026
2020,대구광역시 달서구,1973.0,465.8,836.2,212.7,858.5,231.7,1753.1,406.1,558631.0,3,3,0.5370271252400959,10546.0,0.0,54.0,1131.0,1728.0,3.0,148.0,4350.0,3132.0,18.87829354260684,29.698463872558317
2020,대구광역시 달성군,2596.1,605.8,353.3,91.6,385.9,100.3,2422.2,561.6,259339.0,3,3,1.156787062493493,2555.0,0.0,34.0,329.0,361.0,2.0,85.0,940.0,804.0,9.851969815569582,31.467710371819962
2020,대구광역시 동구,125.6,31.9,503.8,126.4,726.3,195.7,82.9,20.5,341920.0,4,4,1.1698642957416938,6786.0,0.0,29.0,537.0,1080.0,2.0,73.0,2629.0,2436.0,19.84674777725784,35.8974358974359
2020,대구광역시 북구,695.1,161.1,632.8,162.8,760.4,204.6,587.0,133.1,440263.0,6,6,1.3628217678978247,5665.0,0.0,25.0,625.0,845.0,1.0,71.0,2184.0,1914.0,12.867308858568629,33.78640776699029
2020,대구광역시 서구,359.9,89.3,238.0,59.8,286.1,73.7,224.5,50.5,170700.0,1,1,0.5858230814294083,4133.0,0.0,9.0,411.0,596.0,4.0,43.0,1442.0,1628.0,24.212067955477448,39.3902734091459
2020,대구광역시 수성구,209.9,53.0,646.4,165.9,689.6,184.1,16.3,4.0,424314.0,3,3,0.7070235721658961,6366.0,0.0,8.0,772.0,938.0,1.0,68.0,2383.0,2196.0,15.003040201360312,34.49575871819039
2020,대구광역시 중구,27.5,6.7,126.6,34.3,479.3,133.1,21.4,5.1,76547.0,3,3,3.919160777038943,1343.0,0.0,3.0,120.0,194.0,0.0,4.0,418.0,604.0,17.54477641187767,44.973938942665676
2020,대전광역시 대덕구,2050.9,525.8,241.3,59.2,362.3,91.9,1829.2,470.9,176384.0,2,2,1.13388969521045,3353.0,0.0,16.0,353.0,472.0,3.0,64.0,1441.0,1004.0,19.00966074020319,29.94333432746794
2020,대전광역시 동구,86.6,21.3,327.0,81.7,381.6,97.4,56.1,13.5,223021.0,2,2,0.8967765367386927,5266.0,0.0,29.0,439.0,801.0,4.0,68.0,2095.0,1830.0,23.61212621232978,34.75123433345993
2020,대전광역시 서구,52.4,12.7,682.4,171.0,1011.7,265.2,20.0,4.7,477880.0,4,4,0.8370302167908261,5226.0,0.0,41.0,627.0,821.0,3.0,94.0,2054.0,1586.0,10.935799782372143,30.34825870646766
2020,대전광역시 유성구,911.6,242.1,526.1,135.6,1241.7,337.9,365.5,93.8,351047.0,8,8,2.2788971277350325,2191.0,0.0,25.0,248.0,368.0,4.0,49.0,892.0,605.0,6.241329508584321,27.612962117754453
2020,대전광역시 중구,32.6,8.2,333.7,84.1,508.5,133.3,19.1,4.7,235550.0,2,1,0.4245383145828911,4123.0,0.0,30.0,467.0,584.0,6.0,49.0,1528.0,1459.0,17.5037147102526,35.38685423235508
