scene,date,path,row,지점,LST_30m,LST_100m,LST_500m,LST_1000m,지점명,Tavg,Tmax,Tmin,net,scene_id
LC08_L2SP_114035_20200820_20200905_02_T1,2020-08-20,114,035,285,,,42.716579117637814,40.55442114914745,합천,28.3,34.8,21.9,ASOS,LC08_L2SP_114035_20200820_20200905_02_T1
LC08_L2SP_114035_20200820_20200905_02_T1,2020-08-20,114,035,136,42.20503340000002,42.525643676000016,41.06550312325867,40.243385791475696,안동,27.4,34.9,21.7,ASOS,LC08_L2SP_114035_20200820_20200905_02_T1
LC08_L2SP_114035_20200820_20200905_02_T1,2020-08-20,114,035,271,37.30587140000002,37.07185096400003,35.85639991979383,34.91725780584824,봉화,25.0,31.6,18.9,ASOS,LC08_L2SP_114035_20200820_20200905_02_T1
LC08_L2SP_114035_20200820_20200905_02_T1,2020-08-20,114,035,253,41.520290060000036,42.07964089485715,46.07938060391755,45.22499261191638,김해시,29.1,35.8,25.2,ASOS,LC08_L2SP_114035_20200820_20200905_02_T1
LC08_L2SP_114035_20200820_20200905_02_T1,2020-08-20,114,035,257,43.49818429999999,43.485911980571444,45.54830896516375,45.7909394048605,양산시,30.2,37.8,25.2,ASOS,LC08_L2SP_114035_20200820_20200905_02_T1
LC08_L2SP_114035_20200820_20200905_02_T1,2020-08-20,114,035,283,40.5871706,40.13068589085716,37.06509487768423,37.12123240504486,경주시,28.1,35.6,22.7,ASOS,LC08_L2SP_114035_20200820_20200905_02_T1
LC08_L2SP_114035_20200820_20200905_02_T1,2020-08-20,114,035,276,39.54353516000003,38.24120443485716,35.790697166233784,34.618033426838466,청송군,26.2,34.9,20.9,ASOS,LC08_L2SP_114035_20200820_20200905_02_T1
LC08_L2SP_114035_20200820_20200905_02_T1,2020-08-20,114,035,143,44.13621470000002,43.74558384285716,44.30220918741938,45.02524645868789,대구,29.6,36.3,24.4,ASOS,LC08_L2SP_114035_20200820_20200905_02_T1
LC08_L2SP_114035_20200820_20200905_02_T1,2020-08-20,114,035,152,42.21984482000001,42.2023966417143,39.32460569340208,39.16180705625722,울산,27.9,34.2,24.0,ASOS,LC08_L2SP_114035_20200820_20200905_02_T1
LC08_L2SP_114035_20210807_20210811_02_T1,2021-08-07,114,035,281,,49.53651539900002,46.65983726354548,44.980232034316565,영천,28.1,34.9,23.0,ASOS,LC08_L2SP_114035_20210807_20210811_02_T1
LC08_L2SP_114035_20210807_20210811_02_T1,2021-08-07,114,035,272,40.07674628000001,40.68909270114287,41.95594713161878,41.53299911052757,영주,27.0,33.0,22.0,ASOS,LC08_L2SP_114035_20210807_20210811_02_T1
LC08_L2SP_114035_20210807_20210811_02_T1,2021-08-07,114,035,136,44.847162860000026,44.95722310400002,43.633013934826906,42.530641367897786,안동,27.4,34.9,22.2,ASOS,LC08_L2SP_114035_20210807_20210811_02_T1
LC08_L2SP_114035_20210807_20210811_02_T1,2021-08-07,114,035,257,41.529404780000014,41.27533196000001,42.008544911633486,41.45818581522761,양산시,30.6,36.6,26.7,ASOS,LC08_L2SP_114035_20210807_20210811_02_T1
LC08_L2SP_114035_20210807_20210811_02_T1,2021-08-07,114,035,152,41.56244564000002,41.014878836000015,38.14260896041239,37.950782603956284,울산,29.0,33.7,25.6,ASOS,LC08_L2SP_114035_20210807_20210811_02_T1
LC08_L2SP_114035_20210807_20210811_02_T1,2021-08-07,114,035,276,44.07469034000002,43.26735401600001,41.156063594275636,39.96637296518263,청송군,27.1,34.6,21.5,ASOS,LC08_L2SP_114035_20210807_20210811_02_T1
LC08_L2SP_114035_20210807_20210811_02_T1,2021-08-07,114,035,271,39.75317372000003,39.616127394285726,39.0024191346392,38.10861937113449,봉화,24.3,30.9,19.4,ASOS,LC08_L2SP_114035_20210807_20210811_02_T1
LC08_L2SP_114035_20220826_20220924_02_T1,2022-08-26,114,035,138,39.25870016000001,39.812224084571454,39.68062295894233,39.331735911630766,포항,24.4,27.8,21.9,ASOS,LC08_L2SP_114035_20220826_20220924_02_T1
