"행정구역(동읍면)별","5세별","항목","단위","2020 년","2021 년","2022 년","2023 년","2024 년","2025 년",
"종로구","10 - 14세","남자인구수[명]","명","2567","2442","2322","2225","2157","2029",
"종로구","10 - 14세","여자인구수[명]","명","2585","2492","2396","2315","2263","2157",
"종로구","15 - 19세","남자인구수[명]","명","2928","2715","2684","2551","2447","2463",
"종로구","15 - 19세","여자인구수[명]","명","2933","2732","2685","2648","2511","2544",
"종로구","20 - 24세","남자인구수[명]","명","4852","4559","4302","4125","3944","3572",
"종로구","20 - 24세","여자인구수[명]","명","5622","5406","5261","4988","4695","4425",
"종로구","25 - 29세","남자인구수[명]","명","6653","6414","6291","6049","5886","5791",
"종로구","25 - 29세","여자인구수[명]","명","6289","6423","6430","6334","6438","6418",
"종로구","30 - 34세","남자인구수[명]","명","5055","5198","5311","5508","5724","5783",
"종로구","30 - 34세","여자인구수[명]","명","5029","5104","5242","5374","5602","5666",
"종로구","35 - 39세","남자인구수[명]","명","4855","4509","4325","4140","4110","4116",
"종로구","35 - 39세","여자인구수[명]","명","5004","4659","4464","4300","4318","4304",
"종로구","40 - 44세","남자인구수[명]","명","4795","4751","4752","4767","4561","4450",
"종로구","40 - 44세","여자인구수[명]","명","5154","5158","5060","5016","4779","4660",
"종로구","45 - 49세","남자인구수[명]","명","6039","5385","4853","4524","4379","4318",
"종로구","45 - 49세","여자인구수[명]","명","6243","5675","5279","4887","4768","4817",
"종로구","50 - 54세","남자인구수[명]","명","6341","6474","6348","6151","5851","5425",
"종로구","50 - 54세","여자인구수[명]","명","6551","6626","6397","6263","6000","5624",
"종로구","55 - 59세","남자인구수[명]","명","6443","6100","5741","5703","5674","5719",
"종로구","55 - 59세","여자인구수[명]","명","6124","5757","5730","5798","5851","5987",
"종로구","60 - 64세","남자인구수[명]","명","5768","5779","5778","5717","5688","5579",
"종로구","60 - 64세","여자인구수[명]","명","5716","5732","5621","5615","5605","5447",
"종로구","65 - 69세","남자인구수[명]","명","4135","4360","4417","4648","4835","4909",
"종로구","65 - 69세","여자인구수[명]","명","4329","4481","4485","4709","4888","5066",
"종로구","70 - 74세","남자인구수[명]","명","3035","2855","2862","2922","3067","3409",
"종로구","70 - 74세","여자인구수[명]","명","3697","3399","3322","3296","3411","3717",
