본부,지사,정전건수,일시건수,정전호수,평균지속h,key
부산울산본부,양산지사,178,35,12952.0,0.42992041198501874,경상남도 양산시
부산울산본부,영도지사,37,5,4018.0,0.2450675675675676,부산광역시 영도구
부산울산본부,울산지사,345,76,38276.0,0.27724235104669886,
부산울산본부,중부산지사,257,24,9782.0,0.17302529182879378,
서울본부,강북성북지사,84,25,25259.0,0.451276455026455,
서울본부,광진성동지사,84,14,4482.0,0.2405919312169312,
서울본부,노원도봉지사,68,20,9819.0,0.4991094771241831,
서울본부,동대문중랑지사,74,20,13857.0,0.47937687687687686,
서울본부,마포용산지사,123,29,17601.0,0.6914543812104788,
서울본부,서대문은평지사,87,28,21581.0,0.7294508301404853,
서울본부,서울본부직할,219,65,23063.0,0.6302980720446475,
인천본부,강화지사,91,34,24061.0,0.5494597069597069,인천광역시 강화군
인천본부,김포지사,166,45,11560.0,0.3734554886211513,경기도 김포시
인천본부,남인천지사,246,38,11436.0,0.22541553748870824,
인천본부,부천지사,114,33,11542.0,0.5732504873294347,경기도 부천시
인천본부,서인천지사,245,46,15066.0,0.34504308390022675,
인천본부,시흥지사,124,29,10009.0,0.40081093189964156,경기도 시흥시
인천본부,영종지사,39,10,2491.0,0.5812891737891738,
인천본부,인천본부직할,145,46,19007.0,0.5208199233716475,
인천본부,제물포지사,128,29,15090.0,0.32971354166666667,
전북본부,고창지사,108,25,13308.0,0.3394984567901234,전라북도 고창군
전북본부,군산지사,178,30,9536.0,0.23411828963795256,전라북도 군산시
전북본부,김제지사,105,28,18736.0,0.40031481481481485,전라북도 김제시
전북본부,남원지사,69,9,4851.0,0.12872785829307568,전라북도 남원시
전북본부,남전주지사,112,24,17148.0,0.38986359126984127,
전북본부,무주지사,21,8,3778.0,0.6450661375661375,전라북도 무주군
전북본부,부안지사,89,12,3386.0,0.29368913857677903,전라북도 부안군
전북본부,순창지사,29,12,6694.0,0.49087164750957857,전라북도 순창군
전북본부,익산지사,192,36,26492.0,0.2808232060185185,전라북도 익산시
전북본부,임실지사,33,4,2191.0,0.12798821548821548,전라북도 임실군
전북본부,장수지사,31,11,11179.0,0.4854390681003585,전라북도 장수군
전북본부,전북본부직할,286,36,18163.0,0.17610236985236985,
전북본부,정읍지사,196,37,25175.0,0.23332057823129249,전라북도 정읍시
전북본부,진안지사,33,10,5258.0,0.6401599326599327,전라북도 진안군
제주본부,서귀포지사,350,59,25408.0,0.29543174603174605,제주특별자치도 서귀포시
제주본부,제주본부직할,401,97,54424.0,0.3641209476309227,
충북본부,단양지사,55,9,5219.0,0.19223232323232323,충청북도 단양군
충북본부,동청주지사,128,27,12212.0,0.3111306423611111,충청북도 청주시
충북본부,보은지사,70,15,8879.0,0.2721150793650794,충청북도 보은군
충북본부,영동지사,47,16,9959.0,0.5384692671394798,충청북도 영동군
충북본부,옥천지사,52,18,10993.0,0.5038675213675213,충청북도 옥천군
충북본부,음성지사,116,21,9218.0,0.3646192528735632,충청북도 음성군
충북본부,제천지사,127,28,17353.0,0.3547965879265092,충청북도 제천시
충북본부,증평괴산지사,114,28,14143.0,0.3808260233918129,
충북본부,진천지사,135,19,6560.0,0.13878600823045267,충청북도 진천군
충북본부,충북본부직할,161,35,18669.0,0.235351966873706,
충북본부,충주지사,188,30,16193.0,0.21837174940898346,충청북도 충주시
