시군구,발생,사망,중증,고령,작업장,중증률,n
경상북도 상주시,49,3,7,0.46938775510204084,0.16326530612244897,14.285714285714285,49
경상북도 성주군,15,0,2,0.6,0.13333333333333333,13.333333333333334,15
경상북도 안동시,127,0,7,0.41732283464566927,0.25196850393700787,5.511811023622047,127
경상북도 영덕군,16,1,4,0.4375,0.125,25.0,16
경상북도 영양군,5,0,0,0.2,0.4,0.0,5
경상북도 영주시,40,0,3,0.4,0.3,7.5,40
경상북도 영천시,12,1,3,0.5,0.25,25.0,12
경상북도 예천군,66,1,4,0.4090909090909091,0.25757575757575757,6.0606060606060606,66
경상북도 울릉군,22,0,0,0.13636363636363635,0.4090909090909091,0.0,22
경상북도 울진군,61,0,0,0.22950819672131148,0.22950819672131148,0.0,61
경상북도 의성군,39,1,3,0.5128205128205128,0.15384615384615385,7.6923076923076925,39
경상북도 청도군,20,0,3,0.4,0.25,15.0,20
경상북도 청송군,28,0,0,0.32142857142857145,0.2857142857142857,0.0,28
경상북도 칠곡군,45,0,2,0.3111111111111111,0.37777777777777777,4.444444444444445,45
경상북도 포항시 남구,184,0,5,0.19021739130434784,0.5652173913043478,2.717391304347826,184
경상북도 포항시 북구,109,3,6,0.3302752293577982,0.3669724770642202,5.5045871559633035,109
광주광역시 광산구,111,0,3,0.16216216216216217,0.5855855855855856,2.7027027027027026,111
광주광역시 남구,37,0,1,0.2702702702702703,0.5405405405405406,2.7027027027027026,37
광주광역시 동구,18,0,3,0.3888888888888889,0.2777777777777778,16.666666666666664,18
광주광역시 북구,70,1,2,0.15714285714285714,0.45714285714285713,2.857142857142857,70
광주광역시 서구,61,1,2,0.18032786885245902,0.6557377049180327,3.278688524590164,61
대구광역시 군위군,9,1,1,0.4444444444444444,0.0,11.11111111111111,9
대구광역시 남구,40,0,2,0.375,0.4,5.0,40
대구광역시 달서구,85,0,3,0.21176470588235294,0.5764705882352941,3.5294117647058822,85
대구광역시 달성군,42,0,2,0.2619047619047619,0.42857142857142855,4.761904761904762,42
대구광역시 동구,52,0,2,0.3269230769230769,0.4423076923076923,3.8461538461538463,52
대구광역시 북구,32,1,2,0.40625,0.375,6.25,32
대구광역시 서구,28,0,3,0.2857142857142857,0.35714285714285715,10.714285714285714,28
대구광역시 수성구,34,0,9,0.47058823529411764,0.17647058823529413,26.47058823529412,34
대구광역시 중구,31,0,4,0.41935483870967744,0.3225806451612903,12.903225806451612,31
대전광역시 대덕구,30,0,2,0.3,0.5333333333333333,6.666666666666667,30
대전광역시 동구,24,0,1,0.25,0.375,4.166666666666666,24
대전광역시 서구,63,0,4,0.1746031746031746,0.42857142857142855,6.349206349206349,63
대전광역시 유성구,66,0,4,0.15151515151515152,0.5,6.0606060606060606,66
대전광역시 중구,48,0,1,0.3958333333333333,0.16666666666666666,2.083333333333333,48
부산광역시 강서구,51,0,3,0.19607843137254902,0.803921568627451,5.88235294117647,51
부산광역시 금정구,25,0,4,0.36,0.4,16.0,25
부산광역시 기장군,61,0,2,0.26229508196721313,0.5409836065573771,3.278688524590164,61
부산광역시 남구,48,0,3,0.1875,0.5208333333333334,6.25,48
부산광역시 동구,21,0,4,0.2857142857142857,0.5238095238095238,19.047619047619047,21
부산광역시 동래구,22,0,1,0.13636363636363635,0.5909090909090909,4.545454545454546,22
부산광역시 부산진구,29,1,2,0.3103448275862069,0.27586206896551724,6.896551724137931,29
부산광역시 북구,30,0,3,0.36666666666666664,0.5666666666666667,10.0,30
부산광역시 사상구,44,0,4,0.38636363636363635,0.45454545454545453,9.090909090909092,44
부산광역시 사하구,42,0,5,0.4523809523809524,0.3333333333333333,11.904761904761903,42
부산광역시 서구,21,1,4,0.2857142857142857,0.3333333333333333,19.047619047619047,21
부산광역시 수영구,34,0,0,0.2647058823529412,0.4117647058823529,0.0,34
부산광역시 연제구,20,1,1,0.25,0.35,5.0,20
부산광역시 영도구,38,0,4,0.2894736842105263,0.631578947368421,10.526315789473683,38
부산광역시 중구,17,0,2,0.29411764705882354,0.4117647058823529,11.76470588235294,17
부산광역시 해운대구,41,1,3,0.1951219512195122,0.5365853658536586,7.317073170731707,41
서울특별시 강남구,34,0,4,0.3235294117647059,0.4117647058823529,11.76470588235294,34
서울특별시 강동구,38,1,2,0.4473684210526316,0.13157894736842105,5.263157894736842,38
서울특별시 강북구,38,0,4,0.631578947368421,0.13157894736842105,10.526315789473683,38
서울특별시 강서구,40,0,2,0.325,0.35,5.0,40
서울특별시 관악구,61,1,6,0.45901639344262296,0.22950819672131148,9.836065573770492,61
서울특별시 광진구,25,0,3,0.28,0.24,12.0,25
서울특별시 구로구,48,0,3,0.4166666666666667,0.3125,6.25,48
서울특별시 금천구,20,0,4,0.35,0.25,20.0,20
서울특별시 노원구,51,0,7,0.5294117647058824,0.21568627450980393,13.725490196078432,51
서울특별시 도봉구,63,1,6,0.4603174603174603,0.2857142857142857,9.523809523809524,63
서울특별시 동대문구,54,0,4,0.4444444444444444,0.2037037037037037,7.4074074074074066,54
서울특별시 동작구,22,0,2,0.36363636363636365,0.2727272727272727,9.090909090909092,22
서울특별시 마포구,46,0,5,0.15217391304347827,0.08695652173913043,10.869565217391305,46
서울특별시 서대문구,15,0,1,0.4666666666666667,0.3333333333333333,6.666666666666667,15
서울특별시 서초구,30,0,0,0.13333333333333333,0.5333333333333333,0.0,30
서울특별시 성동구,36,0,4,0.3333333333333333,0.3055555555555556,11.11111111111111,36
서울특별시 성북구,27,0,5,0.6296296296296297,0.18518518518518517,18.51851851851852,27
서울특별시 송파구,69,1,8,0.2028985507246377,0.2898550724637681,11.594202898550725,69
서울특별시 양천구,38,1,2,0.2894736842105263,0.34210526315789475,5.263157894736842,38
서울특별시 영등포구,88,0,12,0.13636363636363635,0.18181818181818182,13.636363636363635,88
서울특별시 용산구,36,0,4,0.4722222222222222,0.19444444444444445,11.11111111111111,36
서울특별시 은평구,77,0,6,0.33766233766233766,0.4025974025974026,7.792207792207792,77
서울특별시 종로구,41,1,3,0.4878048780487805,0.17073170731707318,7.317073170731707,41
서울특별시 중구,30,0,2,0.3333333333333333,0.1,6.666666666666667,30
서울특별시 중랑구,56,3,6,0.39285714285714285,0.30357142857142855,10.714285714285714,56
세종특별자치시 세종특별자치시,131,0,2,0.25190839694656486,0.48854961832061067,1.5267175572519083,131
울산광역시 남구,106,2,4,0.1509433962264151,0.6886792452830188,3.7735849056603774,106
울산광역시 동구,132,0,2,0.15151515151515152,0.7424242424242424,1.5151515151515151,132
울산광역시 북구,33,0,1,0.15151515151515152,0.6060606060606061,3.0303030303030303,33
울산광역시 울주군,126,0,5,0.16666666666666666,0.6984126984126984,3.968253968253968,126
울산광역시 중구,52,0,3,0.38461538461538464,0.4230769230769231,5.769230769230769,52
인천광역시 강화군,55,1,3,0.4909090909090909,0.38181818181818183,5.454545454545454,55
인천광역시 계양구,83,0,9,0.25301204819277107,0.37349397590361444,10.843373493975903,83
인천광역시 남동구,98,2,12,0.42857142857142855,0.336734693877551,12.244897959183673,98
인천광역시 동구,20,0,2,0.2,0.45,10.0,20
인천광역시 미추홀구,101,1,4,0.3564356435643564,0.3564356435643564,3.9603960396039604,101
인천광역시 부평구,69,2,11,0.2028985507246377,0.37681159420289856,15.942028985507244,69
인천광역시 서구,208,2,12,0.16826923076923078,0.6009615384615384,5.769230769230769,208
인천광역시 연수구,60,0,4,0.16666666666666666,0.6333333333333333,6.666666666666667,60
인천광역시 옹진군,6,0,1,0.5,0.0,16.666666666666664,6
