연도,key,산업용,산업용여름,주택용,주택용여름,일반용,일반용여름,제조업,제조업여름
2024,경상북도 상주시,172.0,46.4,138.1,35.4,191.0,47.9,137.4,37.6
2024,경상북도 성주군,760.9,186.3,54.8,14.2,100.6,25.2,744.4,182.1
2024,경상북도 안동시,302.7,75.8,249.0,66.4,411.6,104.9,200.1,52.1
2024,경상북도 영덕군,46.3,11.2,48.3,12.5,134.4,34.4,26.5,6.2
2024,경상북도 영양군,12.7,3.1,22.0,5.3,32.7,7.3,3.7,0.8
2024,경상북도 영주시,1159.6,294.5,151.7,40.3,222.5,55.3,1124.3,286.1
2024,경상북도 영천시,939.8,226.6,144.4,38.3,221.3,57.3,895.9,215.4
2024,경상북도 예천군,50.5,12.4,91.7,25.1,113.5,28.5,34.1,8.4
2024,경상북도 울릉군,8.5,2.2,10.2,2.7,47.4,12.0,2.9,0.8
2024,경상북도 울진군,312.5,69.3,83.5,21.4,161.7,40.5,24.3,6.0
2024,경상북도 의성군,76.8,17.9,66.6,16.7,90.7,21.6,60.2,13.7
2024,경상북도 청도군,83.4,20.5,56.5,14.0,108.1,26.7,69.4,16.8
2024,경상북도 청송군,20.1,4.7,34.7,8.6,67.9,15.9,8.4,1.8
2024,경상북도 칠곡군,1237.7,304.4,174.9,48.4,346.0,92.3,1138.9,279.4
2024,경상북도 포항시,8000.5,1842.3,836.4,241.5,1180.7,320.0,7834.2,1799.8
2024,광주광역시 광산구,1977.5,510.6,688.8,185.7,902.1,246.3,1873.8,483.4
2024,광주광역시 남구,50.3,12.9,357.0,97.9,330.2,90.9,11.1,2.6
2024,광주광역시 동구,36.2,9.3,200.7,56.5,376.2,102.8,6.9,1.7
2024,광주광역시 북구,741.3,203.1,725.1,205.2,794.3,216.3,672.7,184.4
2024,광주광역시 서구,309.8,84.7,493.9,132.0,817.0,220.4,205.4,57.6
2024,대구광역시 군위군,132.6,32.4,28.6,7.1,69.9,17.4,120.2,29.2
2024,대구광역시 남구,11.2,2.9,240.8,68.9,331.3,91.1,5.7,1.5
2024,대구광역시 달서구,1945.5,498.4,909.6,253.3,943.5,262.0,1703.3,429.0
2024,대구광역시 달성군,3182.4,811.7,421.3,117.7,511.9,139.7,2995.7,764.1
2024,대구광역시 동구,129.4,33.3,601.5,168.7,834.2,231.6,83.9,21.7
2024,대구광역시 북구,665.2,165.7,693.5,195.0,847.5,234.9,557.7,137.3
2024,대구광역시 서구,348.3,92.1,273.0,75.7,314.9,84.9,202.4,49.9
2024,대구광역시 수성구,217.8,56.4,729.2,205.8,780.0,213.8,12.7,3.3
2024,대구광역시 중구,36.2,9.4,199.8,58.5,508.2,145.3,18.0,4.5
2024,대전광역시 대덕구,1909.7,497.7,271.1,72.0,411.1,106.9,1686.5,442.0
2024,대전광역시 동구,82.4,20.6,364.4,97.9,430.4,113.3,51.3,12.5
